,ID,Requirement,State,ASIL,Status,Failed Rule,Rationale
0,REQ-LLD-001,"When a user inputs physical digits, the [ATM Client Terminal] shall invoke `client.verifyPINFormat()` to validate the length before execution.",Released,ASIL-B,Passed,None,"The action part correctly uses 'shall', avoids vague terms (e.g., 'length' is specific and measurable), is verifiable (function invocation and length validation can be tested), and addresses a single distinct requirement (invoking `client.verifyPINFormat()` for length validation). It aligns with the full requirement's context and original rationale."
1,REQ-LLD-002,"When `client.verifyPINFormat()` detects an invalid length, the [ATM Client Terminal] shall display an error message within 500 milliseconds.",Released,ASIL-B,Passed,None,"The action part uses 'shall', contains no vague terms, specifies a measurable time constraint (500 milliseconds), and describes a single distinct action (displaying an error message). It is verifiable through timing measurements and adheres to all INCOSE/ASPICE requirements."
2,REQ-LLD-003,"Where an encrypted handshake is initiated, the [ATM Controller] shall execute `middleware.router.routeRequest()` within 100 milliseconds.",Released,ASIL-D,Passed,None,"The action part uses the required modal verb 'shall', avoids vague terms by specifying 'within 100 milliseconds', is verifiable through timing measurements, and addresses a single distinct requirement (executing a specific function within a defined time)."
3,REQ-LLD-004,"When `middleware.router.routeRequest()` executes, the User Session State Handler shall extract the `session_id` from the payload buffer.",Released,ASIL-D,Passed,None,"The action part 'the User Session State Handler shall extract the `session_id` from the payload buffer' complies with all INCOSE/ASPICE rules. It uses the required modal verb 'shall', contains no vague terms, is verifiable through testing whether the session_id is correctly extracted, and specifies a single distinct action without combining multiple requirements."
4,REQ-LLD-005,"When the user selects a withdrawal transaction, the [ATM Client Terminal] shall package the `withdrawal_amount` into the payload structure.",Released,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
5,REQ-LLD-006,"If the network connection drops during a withdrawal selection, the [ATM Client Terminal] shall abort data transmission.",Released,ASIL-B,Review,Rule 2,"The term 'drops' in 'network connection drops' is vague and subjective. It lacks a precise definition of what constitutes a 'drop' (e.g., timeout duration, signal loss threshold, or specific error conditions). This ambiguity makes the requirement unverifiable, as it does not specify measurable criteria to determine when a network connection has 'dropped.' The original rationale references 'physical links fail,' which is more specific but not reflected in the action part."
6,REQ-LLD-007,"If the [ATM Controller] transmits a Ledger Balance Query, the [CBS Bank Host] shall invoke `core.checkLedgerBalance()` within 400 milliseconds.",Released,ASIL-B,Passed,None,"The action part uses the required modal verb 'shall', contains no vague terms (specific time constraint of 400 milliseconds is measurable), is verifiable through timing measurements, and addresses a single distinct requirement (invoking a specific function within a defined latency). The statement aligns with the original rationale regarding low latency constraints."
7,REQ-LLD-008,"When `core.checkLedgerBalance()` returns a query timeout, the [CBS Bank Host] shall broadcast a null balance token to the middleware router.",Released,ASIL-B,Passed,None,"The action part uses the required modal verb 'shall', contains no vague or subjective terms, is verifiable through system testing (broadcasting a null balance token can be measured), and addresses a single distinct action without combining multiple requirements."
8,REQ-LLD-009,"When `Core_Verify()` returns an authentication failure, the [ATM Controller] shall decrement the remaining attempt counter by exactly 1.",Released,ASIL-B,Passed,None,"The action part 'the [ATM Controller] shall decrement the remaining attempt counter by exactly 1.' complies with all INCOSE/ASPICE rules: it uses 'shall', contains no vague terms (e.g., 'exactly 1' is precise), is verifiable (can be tested by checking counter value reduction), and addresses a single distinct requirement (decrementing the counter). The context from the full requirement confirms this action is appropriately scoped."
9,REQ-LLD-010,"If the attempt counter reaches zero during the PIN Verification Loop, the [ATM Client Terminal] shall transition to a terminal locked state.",Released,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
