ID,Original Requirement,Corrected Requirement
,"WHILE VehSpd is within [0 kph, 250 kph], THE SYSTEM SHALL process the VehSpd value within [50 ms].","When VehSpd is within [0 kph, 250 kph], the system shall process the VehSpd value within 50 ms."
,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.","IF VehSpd > 250 kph, THEN THE SYSTEM SHALL detect F_OOR_HI_VehSpd within 10 ms."
,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.","IF VehSpd > 250 kph, THEN THE SYSTEM SHALL react within 10 ms."
,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.","IF VehSpd > 250 kph, THEN THE SYSTEM SHALL set DTC_101_VSPD_OOR_HI."
,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.","IF VehSpd > 250 kph, THEN THE SYSTEM SHALL transition to safe state."
,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF VehSpd < 0 kph, THEN THE SYSTEM SHALL detect F_OOR_LO_VehSpd within [10 ms]"
,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF VehSpd < 0 kph, THEN THE SYSTEM SHALL react within [10 ms]"
,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF VehSpd < 0 kph, THEN THE SYSTEM SHALL set DTC_101_VSPD_OOR_LO"
,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF VehSpd < 0 kph, THEN THE SYSTEM SHALL transition to safe state"
,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL detect F_TO_VehSpd within [10 ms]"
,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL react within [10 ms]"
,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL set DTC_101_VSPD_TO"
,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL transition to safe state"
