,ID,Original Requirement,Corrected Requirement
0,,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.",The system shall detect F_OOR_HI_VehSpd within 10 ms when VehSpd exceeds 250 kph.
1,,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.",The system shall react within 10 ms when VehSpd exceeds 250 kph.
2,,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.",The system shall set DTC_101_VSPD_OOR_HI when VehSpd exceeds 250 kph.
3,,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.",The system shall transition to a safe state when VehSpd exceeds 250 kph.
4,,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF the vehicle speed (VehSpd) is less than 0 kph, THEN the system shall detect the Fault Code (F_OOR_LO_VehSpd) within 10 milliseconds."
5,,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF the vehicle speed (VehSpd) is less than 0 kph, THEN the system shall react to the detected F_OOR_LO_VehSpd within 10 milliseconds."
6,,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF the vehicle speed (VehSpd) is less than 0 kph, THEN the system shall set the Diagnostic Trouble Code (DTC) DTC_101_VSPD_OOR_LO."
7,,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.","IF the vehicle speed (VehSpd) is less than 0 kph, THEN the system shall transition to a predefined safe state."
8,,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL detect F_TO_VehSpd within [10 ms]"
9,,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL react within [10 ms]"
10,,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL set DTC_101_VSPD_TO"
11,,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.","IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL transition to safe state"
12,,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.","IF VehSpd AliveCounter is unchanged for 3 consecutive cycles, THEN THE SYSTEM SHALL detect F_ALC_VehSpd within 10 ms."
13,,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.","IF VehSpd AliveCounter is unchanged for 3 consecutive cycles, THEN THE SYSTEM SHALL react within 10 ms."
14,,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.","IF VehSpd AliveCounter is unchanged for 3 consecutive cycles, THEN THE SYSTEM SHALL set DTC_101_VSPD_ALC."
15,,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.","IF VehSpd AliveCounter is unchanged for 3 consecutive cycles, THEN THE SYSTEM SHALL transition to safe state."
16,,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.","IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL detect F_CRC_VehSpd within 10 ms"
17,,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.","IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL react within 10 ms"
18,,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.","IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL set DTC_101_VSPD_CRC"
19,,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.","IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL transition to safe state"
