Name,Content,State,ASIL,Rationale,Covers(int),Refined(int)
REQ-LLD-001,"When a user inputs physical digits, the [ATM Client Terminal] shall invoke `client.verifyPINFormat()` to validate the length before execution.",Released,ASIL-B,Validates basic numeric formatting rules locally at the interface edge layer.,REQ-GOOD-001,
REQ-LLD-002,"When `client.verifyPINFormat()` detects an invalid length, the [ATM Client Terminal] shall display an error message within 500 milliseconds.",Released,ASIL-B,Guarantees immediate UI feedback loop when string conditions are violated.,REQ-GOOD-001,
REQ-LLD-003,"Where an encrypted handshake is initiated, the [ATM Controller] shall execute `middleware.router.routeRequest()` within 100 milliseconds.",Released,ASIL-D,Enforces crisp execution times within the core message routing layer.,REQ-GOOD-002,
REQ-LLD-004,"When `middleware.router.routeRequest()` executes, the User Session State Handler shall extract the `session_id` from the payload buffer.",Released,ASIL-D,Ensures precise parsing of the identification token from incoming packets.,REQ-GOOD-002,
REQ-LLD-005,"When the user selects a withdrawal transaction, the [ATM Client Terminal] shall package the `withdrawal_amount` into the payload structure.",Released,ASIL-B,Guarantees the financial variable is properly bound inside the client message.,REQ-GOOD-003,
REQ-LLD-006,"If the network connection drops during a withdrawal selection, the [ATM Client Terminal] shall abort data transmission.",Released,ASIL-B,Safely prevents dangling network sockets when physical links fail during use.,REQ-GOOD-003,
REQ-LLD-007,"If the [ATM Controller] transmits a Ledger Balance Query, the [CBS Bank Host] shall invoke `core.checkLedgerBalance()` within 400 milliseconds.",Released,ASIL-B,Enforces low latency constraints on the core database query methods.,REQ-GOOD-004,
REQ-LLD-008,"When `core.checkLedgerBalance()` returns a query timeout, the [CBS Bank Host] shall broadcast a null balance token to the middleware router.",Released,ASIL-B,Standardizes system behavior when a database thread fails to return data.,REQ-GOOD-004,
REQ-LLD-009,"When `Core_Verify()` returns an authentication failure, the [ATM Controller] shall decrement the remaining attempt counter by exactly 1.",Released,ASIL-B,Manages state logic variables safely across successive verification cycles.,REQ-GOOD-005,
REQ-LLD-010,"If the attempt counter reaches zero during the PIN Verification Loop, the [ATM Client Terminal] shall transition to a terminal locked state.",Released,ASIL-D,Prevents brute-force attempts by hard-locking the interactive UI interface.,REQ-GOOD-005,
REQ-LLD-011,"When an AuthStatus of approved is received, the [ATM Controller] shall invoke `DispenseCash(amount: 100)` within 50 milliseconds.",Released,ASIL-D,"Guarantees fast, predictable delivery of the physical action command.",REQ-GOOD-006,
REQ-LLD-012,"While the `DispenseCash` method is executing, the [ATM Client Terminal] shall toggle the physical cash shutter output relay to open.",Released,ASIL-D,Coordinates low-level hardware interactions during physical currency delivery.,REQ-GOOD-006,
REQ-LLD-013,"If the Security Gateway flags an authentication failure, the [ATM Controller] shall push the event log to the Error Handling & Logging node.",Released,ASIL-B,Automates immediate local archival of unauthorized perimeter access events.,REQ-GOOD-007,
REQ-LLD-014,"When the Error Handling & Logging node receives a failure log, it shall write the entry to non-volatile storage within 50 milliseconds.",Released,ASIL-B,Guarantees audit trails are permanently captured before a system crash occurs.,REQ-GOOD-007,
REQ-LLD-015,"When the cash is successfully dispensed, the [ATM Client Terminal] shall execute `client.dispenser.dispenseStatus()` to verify empty optics.",Released,ASIL-B,Employs hardware sensors to double-check delivery before clearing states.,REQ-GOOD-008,
